CUSTOMER_ID,ORDER_NUMBER,MATERIAL_NUMBER
1,14,1145
1,14,3375
1,14,41
1,14,45
2,16,10
2,16,146
2,16,6
2,16,126
2,16,1358
2,16,51
3,10,3772
3,10,1336
3,10,3220
3,10,1966
3,10,7107
3,10,153
3,10,4280
4,15,3552
4,15,362
4,15,4606
4,15,3463
4,15,225
5,15,267
5,15,51
5,15,4920
5,15,41
6,8,1639
6,8,4075
6,8,1159
6,8,297
6,8,465
6,8,303
6,8,2
6,8,11997
7,5,9180
7,5,2517
8,27,2141
8,27,347
8,27,1508
9,20,611
9,20,2549
10,25,555
10,25,537
11,45,11755
12,8,9772
13,12,10
13,12,784
14,36,45
14,36,6249
15,8,51
15,8,184
15,8,1378
15,8,893
15,8,1382
15,8,9044
15,8,902
15,8,7679
15,8,9171
15,8,4695
15,8,2452
16,14,5545
16,14,1974
16,14,5664
16,14,2317
16,14,2969
16,14,7622
16,14,2650
16,14,10
17,12,957
17,12,6162
17,12,3089
17,12,977
18,9,998
18,9,4151
18,9,376
18,9,999
18,9,1001
18,9,991
18,9,11885
18,9,9018
18,9,8466
18,9,3254
18,9,400
18,9,5318
18,9,1832
19,19,1246
19,19,2479
19,19,4146
20,24,4716
20,24,3172
20,24,1776
21,6,1814
21,6,1326
21,6,2349
21,6,3535
22,16,1209
22,16,725
23,21,636
23,21,3078
23,21,1118
23,21,11756
23,21,51
23,21,11028
23,21,2134
24,13,4102
24,13,410
25,15,722
25,15,388
25,15,495
26,14,2884
26,14,1751
26,14,1393
26,14,10204
26,14,2265
27,31,3772
28,7,136
28,7,8358
28,7,196
28,7,1475
29,20,51
30,13,489
30,13,1482
30,13,1428
30,13,119
30,13,1574
31,26,2119
31,26,2916
31,26,1639
32,11,290
32,11,905
32,11,536
32,11,289
32,11,10070
32,11,2876
33,11,1703
33,11,1683
33,11,720
33,11,990
34,24,749
34,24,3040
34,24,8116
34,24,8524
34,24,122
35,16,1160
35,16,1563
35,16,3199
35,16,122
36,24,1591
36,24,778
37,5,1690
37,5,183
38,7,5371
38,7,538
38,7,1320
38,7,725
39,53,1441
39,53,1969
39,53,1777
39,53,6139
39,53,2838
39,53,2095
39,53,11989
39,53,3237
39,53,1614
39,53,75
39,53,6033
39,53,215
39,53,3332
39,53,14
39,53,3624
39,53,6083
39,53,6808
39,53,1783
40,26,1827
41,10,2038
41,10,3575
41,10,2086
41,10,987
41,10,2158
42,23,2212
42,23,413
42,23,407
42,23,722
43,27,2202
43,27,698
43,27,1209
43,27,8492
44,6,1496
45,5,442
45,5,1639
45,5,1845
46,4,6134
46,4,3704
46,4,9146
46,4,9087
46,4,2419
46,4,8277
46,4,2539
46,4,3151
46,4,3883
47,18,3222
47,18,8348
47,18,9779
47,18,763
47,18,7370
48,9,62
48,9,6164
48,9,1059
48,9,3213
48,9,107
48,9,10253
48,9,2317
48,9,348
48,9,167
48,9,2354
48,9,5091
48,9,118
48,9,11922
48,9,5119
48,9,3344
48,9,395
48,9,4472
48,9,280
48,9,2234
48,9,9114
48,9,78
48,9,720
48,9,7158
48,9,1579
48,9,471
48,9,875
48,9,3189
49,18,7583
49,18,722
49,18,10044
49,18,666
49,18,2805
49,18,2364
50,27,11432
50,27,107
51,48,51
51,48,1596
51,48,798
51,48,495
51,48,1218
51,48,489
52,11,722
52,11,3212
52,11,2491
52,11,235
53,23,932
53,23,2528
53,23,1323
53,23,196
54,14,722
54,14,2399
55,20,1598
55,20,820
55,20,1066
56,19,232
56,19,51
57,24,10370
57,24,11968
57,24,1475
57,24,1966
57,24,51
57,24,10017
58,5,6732
58,5,1096
58,5,2667
58,5,457
58,5,1128
58,5,6737
58,5,3795
58,5,1496
58,5,5566
58,5,7265
58,5,2674
58,5,2496
58,5,1164
58,5,4560
59,5,5103
59,5,2677
60,9,2629
60,9,260
60,9,2453
60,9,1657
60,9,953
60,9,5824
60,9,9979
60,9,3071
61,66,793
61,66,54
61,66,929
61,66,196
62,8,5039
62,8,2827
62,8,722
62,8,5721
62,8,413
62,8,2088
62,8,3693
62,8,418
63,28,11673
63,28,2001
63,28,3519
63,28,1945
64,18,916
64,18,7633
64,18,10
64,18,439
64,18,155
64,18,51
64,18,2358
65,9,120
65,9,4853
65,9,1441
65,9,2752
65,9,2661
65,9,598
65,9,4323
65,9,51
65,9,10918
65,9,2894
65,9,2125
65,9,215
65,9,1416
65,9,1655
66,23,14
66,23,903
66,23,9479
66,23,5308
66,23,1897
66,23,1301
67,21,2348
67,21,370
67,21,8091
67,21,3715
67,21,6474
67,21,1274
67,21,1110
67,21,6307
67,21,1298
67,21,1804
67,21,427
67,21,776
67,21,2104
67,21,7000
67,21,4443
67,21,1544
67,21,8175
67,21,2083
67,21,1821
67,21,1930
67,21,1246
67,21,2434
68,10,128
68,10,729
68,10,6992
69,19,3101
69,19,10709
69,19,3096
70,14,8111
70,14,5489
70,14,7446
71,5,51
72,41,3548
72,41,4360
72,41,537
72,41,2110
72,41,1967
73,9,111
73,9,10
74,2,1310
74,2,1066
74,2,3860
74,2,1860
74,2,5208
74,2,148
75,22,3684
76,17,743
77,36,1320
77,36,144
77,36,369
77,36,66
77,36,53
77,36,2311
78,7,1156
79,26,4917
79,26,3668
80,5,344
80,5,4984
81,11,6507
82,33,912
82,33,2767
82,33,8164
82,33,150
82,33,2580
82,33,3234
82,33,494
82,33,1222
82,33,111
82,33,2531
82,33,604
82,33,3402
82,33,1063
82,33,3276
82,33,5468
82,33,1883
82,33,3853
83,25,2424
83,25,526
83,25,5790
83,25,4922
83,25,103
83,25,4329
83,25,3371
83,25,3795
84,8,3282
84,8,9437
84,8,11380
85,10,239
85,10,404
85,10,2516
85,10,506
85,10,5226
85,10,6811
85,10,2238
86,8,51
86,8,1531
87,8,806
87,8,6163
87,8,953
87,8,319
87,8,9291
87,8,7234
87,8,3694
88,27,45
88,27,1428
88,27,427
88,27,54
89,14,51
89,14,41
89,14,5175
90,19,2
91,13,1297
91,13,7993
91,13,4192
91,13,10858
91,13,3592
92,14,5431
92,14,491
93,16,8016
93,16,9667
93,16,844
94,15,51
