CUSTOMER_ID,ORDER_NUMBER,MATERIAL_NUMBER
1,191,777
1,191,1014
1,192,543
1,192,257
1,192,167
1,192,20
1,192,493
1,192,58
1,192,424
1,192,631
1,192,158
1,192,480
1,193,28
1,193,139
1,193,350
1,193,33
1,193,405
1,193,58
1,193,807
1,193,37
1,193,729
1,193,168
1,193,151
1,193,151
1,193,411
1,193,148
1,193,41
1,193,148
1,193,817
1,193,750
1,193,894
1,193,733
1,193,4088
1,193,17
1,193,70
1,193,194
2,184,245
2,184,31
2,185,281
2,185,355
2,186,512
2,186,58
2,186,392
2,186,96
3,120,1411
3,120,465
3,120,2289
3,120,4
3,120,1125
3,120,81
3,121,501
3,121,1144
3,121,2966
3,121,1354
3,122,515
3,122,2791
3,122,515
3,122,187
3,122,31
3,122,2854
3,122,5166
3,122,620
4,93,1140
4,93,750
4,93,522
4,93,2168
4,93,3
4,93,1199
4,93,1287
4,93,471
4,93,3
4,93,1256
4,93,171
4,93,1304
4,93,41
4,93,1294
4,93,1294
4,93,1294
4,93,254
4,93,101
4,93,1250
4,94,3474
4,94,1263
4,94,1250
4,95,1250
4,95,660
5,58,1948
5,58,148
5,58,1536
5,58,47
5,58,1342
5,59,1370
5,59,1104
5,59,1104
5,59,1151
5,59,1472
5,59,416
5,59,1350
5,59,1235
5,59,41
5,59,1287
5,60,1170
6,82,3387
6,82,1226
6,82,1229
6,82,1147
6,82,1091
6,82,1088
6,82,1089
6,82,904
6,83,1089
6,83,588
6,84,1147
6,84,101
6,84,702
6,84,194
6,84,143
6,84,241
6,84,1496
6,84,1113
6,84,1383
6,84,1390
6,84,1509
6,84,2213
7,72,3
7,72,1247
7,72,5839
7,73,1317
7,73,1754
7,73,1067
7,74,3
7,74,5839
7,74,1156
7,74,1247
8,21,486
8,21,118
8,21,567
8,21,1089
8,22,2027
8,23,1612
9,75,1655
9,75,940
9,75,1656
9,76,1411
9,76,1655
9,76,922
9,76,3383
9,76,1985
9,76,1511
9,76,791
9,77,1018
9,77,38
9,77,1656
10,67,1688
10,67,904
10,67,352
10,67,1547
10,67,1284
10,67,783
10,67,1778
10,67,5963
10,67,1132
10,67,3
10,67,1528
10,67,878
10,67,632
10,67,1779
10,67,1776
10,67,317
10,67,1095
10,68,301
10,68,1377
10,68,566
10,68,1792
10,68,397
10,68,1824
10,68,1635
10,69,1095
10,69,1733
11,47,706
11,47,2484
11,47,143
11,47,1089
11,47,9
11,47,878
11,47,1866
11,47,878
11,47,808
11,47,1107
11,47,1841
11,47,1835
11,47,1834
11,48,784
11,48,428
11,49,1263
11,49,1366
11,49,1385
11,49,1711
11,49,1850
11,49,1018
11,49,1659
11,49,1150
11,49,1834
12,68,143
12,68,1341
12,68,1095
12,68,1027
12,68,893
12,68,1087
12,68,139
12,68,1485
12,68,1150
12,68,2024
12,68,51
12,68,894
12,68,894
12,68,1344
12,68,1493
12,68,1502
12,68,1089
12,68,1548
12,68,2131
12,68,1208
12,68,1613
12,68,853
12,68,179
12,68,1623
12,68,2023
12,68,2042
12,68,1576
12,68,332
12,68,657
12,68,19
12,69,143
12,69,1619
12,69,2701
12,69,389
12,70,1998
13,75,2770
13,75,607
13,75,2064
13,75,3216
13,75,2077
13,75,2048
13,75,1128
13,75,1284
13,75,52
13,75,1102
13,75,1206
13,76,2048
13,76,88
13,76,2069
13,77,1095
14,67,2112
14,67,1150
14,67,418
14,67,1089
14,67,66
14,67,1609
14,67,1100
14,67,1260
14,67,566
14,67,716
14,67,510
14,67,70
14,67,1080
14,67,304
14,67,148
14,68,2205
14,68,1091
14,68,2397
14,68,1413
14,68,125
14,68,303
14,68,728
14,68,1100
14,68,492
14,68,2161
14,68,2701
14,68,1694
14,68,1474
14,68,2357
14,69,1100
14,69,316
14,69,495
14,69,1089
14,69,2118
14,69,501
14,69,1161
14,69,2139
14,69,1979
14,69,1088
14,69,878
14,69,176
14,69,125
14,69,2185
14,69,631
14,69,533
14,69,407
14,69,2187
14,69,623
14,69,1435
14,69,1475
14,69,2701
14,69,864
14,69,566
14,69,510
14,69,1977
14,69,566
14,69,695
14,69,143
14,69,1502
14,69,1380
14,69,568
15,128,83
15,128,46
15,128,1837
15,128,38
15,128,385
15,129,631
15,129,3
15,130,3
15,130,1150
16,59,3
16,60,1089
16,60,1594
16,60,41
16,60,521
16,60,521
16,60,596
16,60,1199
16,60,1508
16,60,2285
16,60,304
16,60,125
16,60,63
16,60,322
16,60,1764
16,60,794
16,60,1918
16,60,2287
16,60,556
16,60,864
16,60,1115
16,60,265
16,60,397
16,60,853
16,61,1147
17,50,6922
17,51,1062
17,51,31
17,51,1575
17,51,140
17,51,2326
17,52,2296
17,52,1286
18,29,203
18,29,2343
18,29,1515
18,29,753
18,29,2330
18,29,1457
18,29,4807
18,29,1647
18,29,940
18,29,303
18,29,1199
18,29,1652
18,29,203
18,29,554
18,29,101
18,30,2066
18,30,2129
18,31,964
18,31,1199
18,31,1151
18,31,3
18,31,427
19,48,930
19,48,2350
19,48,101
19,48,180
19,48,2007
19,48,232
19,48,1957
19,48,1253
19,48,2378
19,48,1385
19,48,878
19,48,171
19,48,148
19,48,521
19,48,271
19,48,1793
19,48,304
19,48,878
19,48,673
19,48,1069
19,48,1202
19,48,1445
19,48,1445
19,48,540
19,48,83
19,48,148
19,48,1131
19,48,884
19,48,1436
19,48,1148
19,48,878
19,48,3
19,48,531
19,49,433
19,49,1088
19,49,3616
19,49,1357
19,49,755
19,49,1525
19,49,406
19,49,1170
19,49,433
19,49,386
19,49,1182
19,49,2373
19,49,72
19,49,2417
19,49,1027
19,49,4191
19,49,387
19,49,385
19,49,83
19,49,1915
19,49,4069
19,49,521
19,49,2428
19,49,265
19,49,387
19,49,1284
19,49,2353
19,49,940
19,49,171
19,49,2274
19,49,468
19,49,2012
19,49,1385
19,49,203
19,49,2036
19,49,626
19,49,1148
19,49,422
19,49,143
19,50,451
19,50,41
19,50,763
19,50,222
19,50,1182
19,50,606
19,50,2649
19,50,170
19,50,349
19,50,1385
19,50,521
19,50,1366
19,50,1793
19,50,1183
19,50,1115
19,50,271
19,50,328
19,50,2353
19,50,1284
19,50,1067
19,50,1736
19,50,878
19,50,1419
19,50,83
20,77,643
20,77,1812
20,77,567
20,77,1545
20,77,148
20,77,2436
20,77,2480
20,78,474
20,78,3276
20,79,3
20,79,129
20,79,1560
20,79,1846
20,79,1091
20,79,1073
20,79,387
20,79,1215
20,79,1187
20,79,304
20,79,1619
20,79,1391
20,79,1560
20,79,1846
20,79,1385
20,79,271
20,79,1236
20,79,1126
20,79,1126
20,79,469
21,57,517
21,58,1490
21,58,1475
21,59,1027
21,59,589
21,59,589
21,59,1100
21,59,1141
22,11,81
22,11,325
22,11,1089
22,11,1091
22,12,1107
22,12,1881
22,12,1284
22,12,1860
22,13,617
22,13,2112
22,13,1015
23,57,2634
23,57,2548
23,57,3296
23,58,2589
23,58,2538
23,58,480
23,58,1623
23,58,4645
23,59,6227
23,59,1332
23,59,3857
23,59,148
23,59,788
23,59,753
23,59,2604
23,59,202
24,61,2637
24,61,1431
24,61,777
24,62,139
24,63,139
25,27,1313
25,27,1400
25,27,2000
25,27,1119
25,27,477
25,27,153
25,28,2209
25,28,216
25,28,6806
25,28,792
25,28,1688
25,28,1457
25,28,262
25,28,1763
25,28,214
25,28,2660
25,28,1152
25,28,1304
25,28,2620
25,28,1367
25,28,1099
25,28,2620
25,28,49
25,28,1193
25,28,1327
25,28,300
25,28,1151
